ÝLÇE;OKUL ADI;2022 Yüzdelik;2023 Yüzdelik;2024 Yüzdelik;2025 Tahmin ;TÜR;ALAN;;;;;;;;
ÇANKAYA (MERKEZ);Ankara Fen Lisesi;0.11;0.08;0.08;;Fen Lisesi;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);;;;;;;;
ÇANKAYA (MERKEZ);Prof. Dr. Aziz Sancar Fen Lisesi;1.27;0.53;0.29;;Fen Lisesi;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);;;;;;;;
PURSAKLAR;Ankara Pursaklar Fen Lisesi;0.59;0.41;0.33;;Fen Lisesi;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);;;;;;;;
YENÝMAHALLE (MERKEZ);Atatürk Anadolu Lisesi;0.96;0.84;0.91;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
ELMADAÐ;Özdemir Bayraktar Havacýlýk ve Uzay Teknolojileri Mesleki ve Teknik Anadolu Lisesi;0;1.02;0.96;;Anadolu Teknik Programý;HAVACILIK VE UZAY TEKNOLOJÝSÝ;;;;;;;;
ÇANKAYA (MERKEZ);Cumhuriyet Fen Lisesi;1.31;1.02;1.09;;Fen Lisesi;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);;;;;;;;
SÝNCAN (MERKEZ);Ankara Erman Ilýcak Fen Lisesi;3.19;1.63;1.13;;Fen Lisesi;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);;;;;;;;
KEÇÝÖREN (MERKEZ);Keçiören Vatansever Þehit Tümgeneral Aydoðan Aydýn Fen Lisesi;1.42;1.44;1.31;;Fen Lisesi;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);;;;;;;;
YENÝMAHALLE (MERKEZ);Yenimahalle Fen Lisesi;2.13;1.71;1.52;;Fen Lisesi;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);;;;;;;;
YENÝMAHALLE (MERKEZ);ASELSAN Mesleki ve Teknik Anadolu Lisesi;2.67;2.05;1.73;;Anadolu Teknik Programý;ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;;;;;;;;
ETÝMESGUT (MERKEZ);Özkent Akbilek Fen Lisesi;2.53;2.25;1.9;;Fen Lisesi;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);;;;;;;;
YENÝMAHALLE (MERKEZ);ASELSAN Mesleki ve Teknik Anadolu Lisesi;2.67;2.05;2.38;;Anadolu Teknik Programý;MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI;;;;;;;;
ÇANKAYA (MERKEZ);Ankara Atatürk Lisesi;3.19;2.86;2.46;;Hazýrlýk Sýnýfý Bulunan Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
ÇANKAYA (MERKEZ);Gazi Anadolu Lisesi;2.83;2.86;2.72;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
ÇANKAYA (MERKEZ);Mehmet Emin Resulzade Anadolu Lisesi;3.06;3.05;3.03;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
ETÝMESGUT (MERKEZ);Þehit Oðuzhan Yaþar Anadolu Lisesi;4.04;3.6;3.3;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
ÇANKAYA (MERKEZ);Dr.Binnaz Ege-Dr.Rýdvan Ege Anadolu Lisesi;3.83;3.6;3.49;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
ÇANKAYA (MERKEZ);Hacý Ömer Tarman Anadolu Lisesi;4.48;4.39;4.04;;Anadolu Lisesi;ANADOLU LÝSESÝ;;;;;;;;
