ÝLÇE;ALAN;OKUL ADI;2022;2023;2024;2025 Tahmin
ÇANKAYA (MERKEZ);FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Ankara Fen Lisesi;0.11;0.08;0.08;
ÇANKAYA (MERKEZ);FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Prof. Dr. Aziz Sancar Fen Lisesi;1.27;0.53;0.29;
PURSAKLAR;FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Ankara Pursaklar Fen Lisesi;0.59;0.41;0.33;
YENÝMAHALLE (MERKEZ);ANADOLU LÝSESÝ;Atatürk Anadolu Lisesi;0.96;0.84;0.91;
ELMADAÐ;HAVACILIK VE UZAY TEKNOLOJÝSÝ;Özdemir Bayraktar Havacýlýk ve Uzay Teknolojileri Mesleki ve Teknik Anadolu Lisesi;0;1.02;0.96;
ÇANKAYA (MERKEZ);FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Cumhuriyet Fen Lisesi;1.31;1.02;1.09;
SÝNCAN (MERKEZ);FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Ankara Erman Ilýcak Fen Lisesi;3.19;1.63;1.13;
KEÇÝÖREN (MERKEZ);FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Keçiören Vatansever Þehit Tümgeneral Aydoðan Aydýn Fen Lisesi;1.42;1.44;1.31;
YENÝMAHALLE (MERKEZ);FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Yenimahalle Fen Lisesi;2.13;1.71;1.52;
YENÝMAHALLE (MERKEZ);ELEKTRÝK-ELEKTRONÝK TEKNOLOJÝSÝ ALANI;ASELSAN Mesleki ve Teknik Anadolu Lisesi;2.67;2.05;1.73;
ETÝMESGUT (MERKEZ);FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Özkent Akbilek Fen Lisesi;2.53;2.25;1.9;
YENÝMAHALLE (MERKEZ);MAKÝNE VE TASARIM TEKNOLOJÝSÝ ALANI;ASELSAN Mesleki ve Teknik Anadolu Lisesi;2.67;2.05;2.38;
ÇANKAYA (MERKEZ);ANADOLU LÝSESÝ;Ankara Atatürk Lisesi;3.19;2.86;2.46;
ÇANKAYA (MERKEZ);ANADOLU LÝSESÝ;Gazi Anadolu Lisesi;2.83;2.86;2.72;
ÇANKAYA (MERKEZ);ANADOLU LÝSESÝ;Mehmet Emin Resulzade Anadolu Lisesi;3.06;3.05;3.03;
ETÝMESGUT (MERKEZ);ANADOLU LÝSESÝ;Þehit Oðuzhan Yaþar Anadolu Lisesi;4.04;3.6;3.3;
ÇANKAYA (MERKEZ);ANADOLU LÝSESÝ;Dr.Binnaz Ege-Dr.Rýdvan Ege Anadolu Lisesi;3.83;3.6;3.49;
ÇANKAYA (MERKEZ);ANADOLU LÝSESÝ;Hacý Ömer Tarman Anadolu Lisesi;4.48;4.39;4.04;
YENÝMAHALLE (MERKEZ);ANADOLU LÝSESÝ;Nermin Mehmet Çekiç Anadolu Lisesi;4.92;4.48;4.2;
KEÇÝÖREN (MERKEZ);ANADOLU LÝSESÝ;Vecihi Hürkuþ Anadolu lisesi;5.25;4.73;4.29;
ÇANKAYA (MERKEZ);ANADOLU LÝSESÝ;Hacý Ömer Tarman Anadolu Lisesi;4.48;4.76;4.44;
YENÝMAHALLE (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Tevfik Ýleri Anadolu Ýmam Hatip Lisesi;5.77;4.54;4.77;
MAMAK (MERKEZ);FEN BÝLÝMLERÝ ALANI (FEN LÝS.);Mamak Fen Lisesi;5.36;4.84;4.96;
YENÝMAHALLE (MERKEZ);FEN VE SOSYAL BÝLÝMLER PROGRAMI;Tevfik Ýleri Anadolu Ýmam Hatip Lisesi;5.77;5.37;5.22;
