İLÇE,OKUL ADI,2022,2023,2024,2025 Tahmin,OKUL TÜRÜ,ALAN
ÇANKAYA (MERKEZ),Ankara Fen Lisesi,0.11,0.08,0.08,,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.)
ÇANKAYA (MERKEZ),Prof. Dr. Aziz Sancar Fen Lisesi,1.27,0.53,0.29,,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.)
PURSAKLAR,Ankara Pursaklar Fen Lisesi,0.59,0.41,0.33,,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.)
YENİMAHALLE (MERKEZ),Atatürk Anadolu Lisesi,0.96,0.84,0.91,,Anadolu Lisesi,ANADOLU LİSESİ
ELMADAĞ,Özdemir Bayraktar Havacılık ve Uzay Teknolojileri Mesleki ve Teknik Anadolu Lisesi,0.0,1.02,0.96,,Anadolu Teknik Programı,HAVACILIK VE UZAY TEKNOLOJİSİ
ÇANKAYA (MERKEZ),Cumhuriyet Fen Lisesi,1.31,1.02,1.09,,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.)
SİNCAN (MERKEZ),Ankara Erman Ilıcak Fen Lisesi,3.19,1.63,1.13,,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.)
KEÇİÖREN (MERKEZ),Keçiören Vatansever Şehit Tümgeneral Aydoğan Aydın Fen Lisesi,1.42,1.44,1.31,,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.)
YENİMAHALLE (MERKEZ),Yenimahalle Fen Lisesi,2.13,1.71,1.52,,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.)
YENİMAHALLE (MERKEZ),ASELSAN Mesleki ve Teknik Anadolu Lisesi,2.67,2.05,1.73,,Anadolu Teknik Programı,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI
ETİMESGUT (MERKEZ),Özkent Akbilek Fen Lisesi,2.53,2.25,1.9,,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.)
YENİMAHALLE (MERKEZ),ASELSAN Mesleki ve Teknik Anadolu Lisesi,2.67,2.05,2.38,,Anadolu Teknik Programı,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI
ÇANKAYA (MERKEZ),Ankara Atatürk Lisesi,3.19,2.86,2.46,,Hazırlık Sınıfı Bulunan Anadolu Lisesi,ANADOLU LİSESİ
ÇANKAYA (MERKEZ),Gazi Anadolu Lisesi,2.83,2.86,2.72,,Anadolu Lisesi,ANADOLU LİSESİ
ÇANKAYA (MERKEZ),Mehmet Emin Resulzade Anadolu Lisesi,3.06,3.05,3.03,,Anadolu Lisesi,ANADOLU LİSESİ
ETİMESGUT (MERKEZ),Şehit Oğuzhan Yaşar Anadolu Lisesi,4.04,3.6,3.3,,Anadolu Lisesi,ANADOLU LİSESİ
ÇANKAYA (MERKEZ),Dr.Binnaz Ege-Dr.Rıdvan Ege Anadolu Lisesi,3.83,3.6,3.49,,Anadolu Lisesi,ANADOLU LİSESİ
ÇANKAYA (MERKEZ),Hacı Ömer Tarman Anadolu Lisesi,4.48,4.39,4.04,,Anadolu Lisesi,ANADOLU LİSESİ
YENİMAHALLE (MERKEZ),Nermin Mehmet Çekiç Anadolu Lisesi,4.92,4.48,4.2,,Anadolu Lisesi,ANADOLU LİSESİ
KEÇİÖREN (MERKEZ),Vecihi Hürkuş Anadolu lisesi,5.25,4.73,4.29,,Anadolu Lisesi,ANADOLU LİSESİ
ÇANKAYA (MERKEZ),Hacı Ömer Tarman Anadolu Lisesi,4.48,4.76,4.44,,Anadolu Lisesi,ANADOLU LİSESİ
YENİMAHALLE (MERKEZ),Tevfik İleri Anadolu İmam Hatip Lisesi,5.77,4.54,4.77,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
MAMAK (MERKEZ),Mamak Fen Lisesi,5.36,4.84,4.96,,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.)
YENİMAHALLE (MERKEZ),Tevfik İleri Anadolu İmam Hatip Lisesi,18.88,5.37,5.22,,Hazırlık Sınıfı Bulunan Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
ÇANKAYA (MERKEZ),Ayrancı Anadolu Lisesi,5.95,5.51,5.31,,Anadolu Lisesi,ANADOLU LİSESİ
ETİMESGUT (MERKEZ),Cezeri Yeşil Teknoloji Mesleki ve Teknik Anadolu Lisesi,7.45,6.22,5.35,,Anadolu Teknik Programı,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI
SİNCAN (MERKEZ),Süleyman Demirel Anadolu Lisesi,6.52,5.93,6.15,,Anadolu Lisesi,ANADOLU LİSESİ
ÇANKAYA (MERKEZ),Betül Can Anadolu Lisesi,6.09,6.2,6.17,,Anadolu Lisesi,ANADOLU LİSESİ
ALTINDAĞ (MERKEZ),Altındağ Yıldırım Beyazıt Fen Lisesi,6.35,6.28,6.18,,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.)
YENİMAHALLE (MERKEZ),Mustafa Azmi Doğan Anadolu Lisesi,7.25,6.8,6.47,,Anadolu Lisesi,ANADOLU LİSESİ
ETİMESGUT (MERKEZ),Cezeri Yeşil Teknoloji Mesleki ve Teknik Anadolu Lisesi,9.66,7.74,6.86,,Anadolu Teknik Programı,YENİLENEBİLİR ENERJİ TEKNOLOJİLERİ ALANI
ÇANKAYA (MERKEZ),Ayhan Sümer Anadolu Lisesi,6.88,6.88,6.88,,Anadolu Lisesi,ANADOLU LİSESİ
KEÇİÖREN (MERKEZ),Aydınlıkevler Anadolu Lisesi,7.31,7.02,7.04,,Anadolu Lisesi,ANADOLU LİSESİ
ALTINDAĞ (MERKEZ),Ankara Lisesi,7.57,7.14,7.14,,Anadolu Lisesi,ANADOLU LİSESİ
ÇANKAYA (MERKEZ),Ayrancı Anadolu Lisesi (Çince),7.18,7.06,7.16,,Anadolu Lisesi,ANADOLU LİSESİ
ÇANKAYA (MERKEZ),Ümitköy Anadolu Lisesi,7.88,7.06,7.23,,Anadolu Lisesi,ANADOLU LİSESİ
ETİMESGUT (MERKEZ),Şehit Ömer Halisdemir Anadolu Lisesi,8.24,7.66,7.23,,Anadolu Lisesi,ANADOLU LİSESİ
KAHRAMANKAZAN,Mustafa Hakan Güvençer Fen Lisesi,8.37,8.19,7.61,,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.)
SİNCAN (MERKEZ),Fatih Anadolu Lisesi,9.74,8.54,8.47,,Anadolu Lisesi,ANADOLU LİSESİ
YENİMAHALLE (MERKEZ),Şehit Ömer Halisdemir Anadolu İmam Hatip Lisesi,10.87,9.22,8.7,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
PURSAKLAR,Pursaklar Ayyıldız Anadolu Lisesi,8.63,8.54,8.74,,Anadolu Lisesi,ANADOLU LİSESİ
POLATLI,Polatlı TOBB Fen Lisesi,8.75,8.38,8.77,,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.)
GÖLBAŞI,Gölbaşı Anadolu Lisesi,8.93,9.2,8.85,,Anadolu Lisesi,ANADOLU LİSESİ
MAMAK (MERKEZ),Yavuz Sultan Selim Anadolu Lisesi,9.07,9.06,8.92,,Anadolu Lisesi,ANADOLU LİSESİ
ÇUBUK,Meliha Hasanali Bostan Çubuk Fen Lisesi,8.85,8.82,8.95,,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.)
ALTINDAĞ (MERKEZ),Altındağ Gazi Anadolu Lisesi,11.53,10.82,9.65,,Anadolu Lisesi,ANADOLU LİSESİ
YENİMAHALLE (MERKEZ),Şehit Cengiz Polat Anadolu İmam Hatip Lisesi,14.23,11.26,9.94,,Hazırlık Sınıfı Bulunan Anadolu İmam Hatip Lisesi,FEN VE TEKNOLOJİ PROGRAMI
ÇANKAYA (MERKEZ),Ankara Türk Telekom Sosyal Bilimler Lisesi,10.78,10.29,10.09,,Sosyal Bilimler Lisesi,
KEÇİÖREN (MERKEZ),Aktepe Şehit Köksal Kaşaltı Anadolu lisesi,12.06,11.33,10.25,,Anadolu Lisesi,ANADOLU LİSESİ
KIZILCAHAMAM,TUSAŞ Şehit Hakan Gülşen Mesleki ve Teknik Anadolu Lisesi,14.52,11.95,10.78,,Anadolu Teknik Programı,UÇAK BAKIM ALANI
SİNCAN (MERKEZ),Erkan - Volkan Yiğit Anadolu İmam Hatip Lisesi,13.97,11.51,11.26,,Anadolu İmam Hatip Lisesi,FEN VE SOSYAL BİLİMLER PROGRAMI
ELMADAĞ,Hasanoğlan Atatürk Fen Lisesi,11.14,10.27,11.37,,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.)
MAMAK (MERKEZ),Çağrıbey Anadolu Lisesi,11.09,12.08,11.45,,Anadolu Lisesi,ANADOLU LİSESİ
BEYPAZARI,Hatice-Cemil Ercan Fen Lisesi,12.94,11.69,11.5,,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.)
YENİMAHALLE (MERKEZ),Teknopark Ankara İvedik OSB Mesleki ve Teknik Anadolu Lisesi (Teknik.Elektrik),12.42,11.49,11.62,,Anadolu Teknik Programı,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI
