İLÇE,OKUL ADI,2022,2023,2024,2025 Tahmin,ALAN,OKUL TÜRÜ
ÇANKAYA (MERKEZ),Ankara Fen Lisesi,0.11,0.08,0.08,,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi
ÇANKAYA (MERKEZ),Prof. Dr. Aziz Sancar Fen Lisesi,1.27,0.53,0.29,,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi
PURSAKLAR,Ankara Pursaklar Fen Lisesi,0.59,0.41,0.33,,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi
YENİMAHALLE (MERKEZ),Atatürk Anadolu Lisesi,0.96,0.84,0.91,,ANADOLU LİSESİ,Anadolu Lisesi
ELMADAĞ,Özdemir Bayraktar Havacılık ve Uzay Teknolojileri Mesleki ve Teknik Anadolu Lisesi,0.0,1.02,0.96,,HAVACILIK VE UZAY TEKNOLOJİSİ,Anadolu Teknik Programı
ÇANKAYA (MERKEZ),Cumhuriyet Fen Lisesi,1.31,1.02,1.09,,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi
SİNCAN (MERKEZ),Ankara Erman Ilıcak Fen Lisesi,3.19,1.63,1.13,,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi
KEÇİÖREN (MERKEZ),Keçiören Vatansever Şehit Tümgeneral Aydoğan Aydın Fen Lisesi,1.42,1.44,1.31,,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi
YENİMAHALLE (MERKEZ),Yenimahalle Fen Lisesi,2.13,1.71,1.52,,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi
YENİMAHALLE (MERKEZ),ASELSAN Mesleki ve Teknik Anadolu Lisesi,2.67,2.05,1.73,,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
ETİMESGUT (MERKEZ),Özkent Akbilek Fen Lisesi,2.53,2.25,1.9,,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi
YENİMAHALLE (MERKEZ),ASELSAN Mesleki ve Teknik Anadolu Lisesi,2.67,2.05,2.38,,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,Anadolu Teknik Programı
